frame_id,est_x,est_y,gt_x,gt_y,track_state,n_candidates,n_matches,n_inliers,inlier_ratio,h_scale,ms
246,1259.0654,2238.7387,1128.6378,2348.0851,1,0,804,784,0.9751,0.5956,172.4
247,1253.9869,2233.2576,1123.8432,2342.3661,1,0,824,807,0.9794,0.5952,187.0
248,1249.0039,2227.7544,1119.0770,2336.6810,1,0,844,829,0.9822,0.5944,207.8
249,1243.9388,2222.2961,1114.2991,2330.9820,1,0,828,808,0.9758,0.5948,212.7
250,1238.8802,2216.7291,1109.4703,2325.2222,1,0,837,816,0.9749,0.5940,181.8
251,1233.8386,2211.0741,1104.6053,2319.4193,1,0,813,797,0.9803,0.5935,177.0
252,1228.7928,2205.4166,1099.7373,2313.6127,1,0,847,828,0.9776,0.5932,186.9
253,1223.7673,2199.7326,1094.8645,2307.8006,1,0,807,784,0.9715,0.5928,241.4
254,1218.6433,2193.9548,1089.9050,2301.8849,1,0,862,840,0.9745,0.5919,213.2
255,1213.6270,2188.1416,1084.9725,2296.0014,1,0,852,832,0.9765,0.5914,211.7
256,1208.5601,2182.2759,1079.9933,2290.0623,1,0,823,803,0.9757,0.5904,178.0
257,1203.5505,2176.3638,1075.0149,2284.1241,1,0,851,831,0.9765,0.5894,175.7
258,1198.4826,2170.3626,1069.9685,2278.1048,1,0,843,823,0.9763,0.5899,179.7
259,1193.4466,2164.3260,1064.9179,2272.0805,1,0,846,822,0.9716,0.5898,182.6
260,1188.3973,2158.2115,1059.8234,2266.0038,1,0,845,828,0.9799,0.5892,181.6
261,1183.3804,2152.0381,1054.7134,2259.9086,1,0,858,843,0.9825,0.5901,215.3
262,1178.3547,2145.8080,1049.5717,2253.7756,1,0,846,823,0.9728,0.5888,209.3
263,1173.3380,2139.4751,1044.3832,2247.5868,1,0,817,796,0.9743,0.5896,207.2
264,1168.3001,2133.0706,1039.1507,2241.3455,1,0,800,781,0.9762,0.5882,210.7
265,1163.3233,2126.6415,1033.9312,2235.1198,1,0,804,782,0.9726,0.5881,212.6
266,1158.3102,2120.1418,1028.6620,2228.8347,1,0,803,780,0.9714,0.5881,213.5
267,1153.2866,2113.4991,1023.3182,2222.4606,1,0,821,802,0.9769,0.5874,184.4
268,1148.3079,2106.7773,1017.9539,2216.0621,1,0,797,772,0.9686,0.5876,171.1
269,1143.3383,2099.9978,1012.5648,2209.6341,1,0,817,796,0.9743,0.5866,176.0
270,1138.3694,2093.1431,1007.1392,2203.1624,1,0,794,773,0.9736,0.5871,174.2
271,1133.4636,2086.1942,1001.6931,2196.6664,1,0,792,772,0.9747,0.5868,174.3
272,1128.4935,2079.1766,996.1867,2190.0984,1,0,815,794,0.9742,0.5864,181.7
273,1123.6009,2072.0284,990.6480,2183.4919,1,0,813,799,0.9828,0.5853,181.3
274,1118.6274,2064.8118,985.0422,2176.8053,1,0,822,800,0.9732,0.5847,175.5
275,1113.7781,2057.5068,979.4442,2170.1281,1,0,807,794,0.9839,0.5842,189.6
276,1108.9078,2050.0802,973.7777,2163.3690,1,0,800,775,0.9688,0.5840,166.7
277,1104.0138,2042.5867,968.0684,2156.5591,1,0,798,774,0.9699,0.5838,181.8
278,1099.1922,2034.9934,962.3399,2149.7261,1,0,775,752,0.9703,0.5839,175.9
279,1094.3989,2027.2849,956.5663,2142.8394,1,0,799,773,0.9675,0.5847,172.2
280,1089.5678,2019.4604,950.7200,2135.8660,1,0,786,765,0.9733,0.5846,171.9
281,1084.7866,2011.5362,944.8452,2128.8586,1,0,768,740,0.9635,0.5840,166.5
282,1079.9913,2003.5459,938.9321,2121.8055,1,0,763,738,0.9672,0.5841,162.0
283,1075.2254,1995.4135,932.9612,2114.6834,1,0,763,733,0.9607,0.5851,160.2
284,1070.5167,1987.2029,926.9753,2107.5435,1,0,768,736,0.9583,0.5855,165.8
